Lattice Width 50;Lattice Height 50;Lattice Depth 50;Total cells
50;50;50;125000

Stream;Collide.
1.19718;2.88109
1.19613;2.89875
1.19814;2.91078
1.20166;2.89491
1.19578;2.92931
1.19946;2.92547
1.192;2.88246
1.19312;2.91456
1.20838;2.9143
1.19754;2.90109
1.1959;2.88691
1.20592;2.88246
1.20486;2.9215
1.21456;2.91373
1.20278;2.94874
1.20298;2.89277
1.20186;2.92906
1.20602;2.8919
1.20723;2.99955
1.21299;2.88502
1.20768;2.92349
1.2225;2.87296
1.20426;2.95917
1.23197;2.88659
1.1808;2.96144
1.23488;2.87859
1.19882;2.94109
1.23392;2.9128
1.20189;2.91398
1.1976;2.884
1.19693;2.91782
1.19946;2.88752
1.2137;2.92355
1.19949;2.93536
1.21062;2.88851
1.20269;2.94746
1.19683;2.88595
1.20115;2.9151
1.1951;2.89018
1.2023;2.91808
1.21651;2.88269
1.19674;2.96851
1.20378;2.88218
1.18646;2.95293
1.20826;2.87322
1.19504;2.93494
1.2439;2.87526
1.21082;2.92931
1.24685;2.9121
1.20307;2.92202
1.19942;2.8792
1.20438;2.91344
1.19181;2.94275
1.19818;2.8999
1.21427;2.90394
1.20349;2.89334
1.19811;2.91926
1.2056;2.868
1.20147;2.9559
1.21776;2.89853
1.20586;2.95549
1.22259;2.91629
1.19629;2.94288
1.19757;2.93206
1.20294;2.96973
1.23802;2.92269
1.20086;2.95344
1.23987;2.89661
1.20698;2.89802
1.20003;2.89814
1.18861;2.89014
1.20067;2.89162
1.19664;2.90042
1.20518;2.90387
1.21686;2.91539
1.20944;2.95376
1.20058;2.87533
1.19648;2.96205
1.25184;2.89776
1.2039;2.90442
1.20682;2.91581
1.204;2.88246
1.20592;2.93187
1.19322;2.9008
1.19405;2.86675
1.20614;2.90464
1.19094;2.87888
1.19699;2.92784
1.19674;2.93296
1.20534;2.88429
1.20691;2.94384
1.20579;2.88397
1.20022;2.94704
1.19754;2.90285
1.19443;2.97267
1.25421;2.89507
1.19594;2.88922
1.20371;2.87526
1.18819;2.88739
1.19568;2.89293
1.19542;2.90378
1.20307;2.92752
1.21053;2.90534
1.1999;2.89939
1.20835;2.88438
1.20128;2.89427
1.20666;2.90554
1.20163;2.93274
1.20528;2.88896
1.20579;2.94349
1.22381;2.92045
1.2009;2.9552
1.24762;2.88947
1.1985;2.88778
1.20704;2.89862
1.19958;2.90944
1.19994;2.90947
1.19622;2.9144
1.19773;2.90931
1.19872;2.8984
1.20186;2.90278
1.21021;2.89786
1.21027;2.91389
1.20403;2.8841
1.19946;2.97162
1.2183;2.92922
1.19168;2.95754
1.24237;2.86931
1.19965;2.90669
1.196;2.89808
1.20512;2.936
1.20803;2.9024
1.1976;2.91706
1.20157;2.92429
1.20381;2.88813
1.20723;2.94877
1.19936;2.87728
1.2015;2.95894
1.23434;2.90438
1.19763;2.93971
1.2463;2.88381
1.2079;2.88698
1.19382;2.90438
1.20589;2.89123
1.19862;2.89699
1.2032;2.91731
1.19338;2.92006
1.20099;2.91072
1.20234;2.90301
1.19715;2.89853
1.20998;2.92128
1.21677;2.89482
1.1977;2.90595
1.21165;2.9257
1.19309;2.96397
1.20426;2.89296
1.19824;2.95971
1.21216;2.89498
1.19418;2.95885
1.21037;2.89174
1.2047;2.95722
1.2328;2.90147
1.20877;2.8744
1.20246;2.90944
1.20086;2.88122
1.2049;2.89802
1.20045;2.8801
1.19776;2.93693
1.22202;2.87942
1.2095;2.98486
1.20915;2.88931
1.21334;2.97069
1.25059;2.91021
1.19638;2.90384
1.22576;2.88432
1.19898;2.90931
1.19312;2.91104
1.20323;2.89837
1.19606;2.88259
1.2048;2.89101
1.20288;2.90778
1.19517;2.90538
1.20509;2.90986
1.2;2.92262
1.19754;2.91645
1.20582;2.90794
1.2081;2.944
1.2033;2.8985
1.20112;2.99232
1.19501;2.89152
1.2025;2.99715
1.1984;2.92173
1.20797;2.96013
1.25731;2.88582
1.19962;2.89542
1.21494;2.87005
1.1961;2.88874
1.20205;2.88915
1.20749;2.87866
1.19818;2.9128
1.1992;2.88416
1.19315;2.89734
1.19747;2.89597
1.19648;2.94224
1.2121;2.90624
1.20896;2.96973
1.2159;2.92842
1.19933;2.95962
1.25389;2.9129
1.21296;2.93414
1.20608;2.91312
1.19827;2.8945
1.19626;2.89654
1.19894;2.87456
1.21283;2.89382
1.20835;2.88883
1.20288;2.87712
1.20426;2.89085
1.20534;2.92003
